,0
762,-3.0
763,-3.0
764,-2.0
765,-1.0
766,-1.0
767,-1.0
768,-2.0
769,-2.0
770,-3.0
771,-3.0
772,-3.0
773,-3.0
774,-3.0
775,-3.0
776,-3.0
777,-3.0
778,-3.0
779,-1.0
780,17.0
781,63.0
782,113.0
783,126.0
784,94.0
785,48.0
786,15.0
787,1.0
788,-3.0
789,-6.0
790,-7.0
791,-8.0
792,-7.0
793,-7.0
794,-7.0
795,-6.0
796,-5.0
797,-5.0
798,-4.0
799,-4.0
800,-3.0
801,-3.0
802,-2.0
803,-1.0
804,-1.0
805,0.0
806,0.0
807,0.0
808,1.0
809,2.0
810,2.0
811,2.0
812,3.0
813,5.0
814,8.0
815,10.0
816,12.0
817,15.0
818,17.0
819,19.0
820,21.0
821,22.0
822,21.0
823,19.0
824,16.0
825,13.0
826,8.0
827,4.0
828,1.0
829,0.0
830,-3.0
831,-5.0
832,-6.0
833,-7.0
834,-8.0
835,-9.0
836,-10.0
837,-10.0
838,-10.0
839,-10.0
840,-10.0
841,-10.0
842,-9.0
843,-8.0
844,-8.0
845,-8.0
846,-8.0
847,-8.0
848,-8.0
849,-7.0
850,-7.0
851,-6.0
852,-5.0
853,-5.0
854,-5.0
855,-6.0
856,-6.0
857,-5.0
858,-5.0
859,-4.0
860,-3.0
861,-2.0
862,-1.0
863,0.0
864,0.0
865,0.0
866,-2.0
867,-3.0
868,-2.0
869,-2.0
870,-2.0
871,-3.0
872,-3.0
873,-3.0
874,-3.0
875,-4.0
876,-2.0
877,9.0
878,44.0
879,96.0
880,130.0
881,112.0
882,64.0
883,24.0
884,3.0
885,-2.0
886,-5.0
887,-7.0
888,-8.0
889,-8.0
890,-8.0
891,-7.0
892,-7.0
893,-6.0
894,-5.0
895,-5.0
896,-5.0
897,-4.0
898,-3.0
899,-3.0
900,-3.0
901,-2.0
902,-1.0
903,0.0
904,0.0
905,0.0
906,1.0
907,2.0
908,2.0
909,3.0
910,5.0
911,7.0
912,10.0
913,12.0
914,14.0
915,17.0
916,19.0
917,20.0
918,21.0
919,21.0
920,20.0
921,17.0
922,14.0
923,10.0
924,5.0
925,3.0
926,0.0
927,-1.0
928,-4.0
929,-6.0
930,-7.0
931,-9.0
932,-9.0
933,-10.0
934,-10.0
935,-10.0
936,-10.0
937,-10.0
938,-10.0
939,-10.0
940,-9.0
941,-8.0
942,-8.0
943,-8.0
944,-8.0
945,-8.0
946,-8.0
947,-7.0
948,-7.0
949,-6.0
950,-5.0
951,-5.0
952,-5.0
953,-6.0
954,-6.0
955,-5.0
956,-4.0
957,-3.0
958,-3.0
959,-2.0
960,-1.0
961,0.0
962,0.0
963,0.0
964,-2.0
965,-3.0
966,-2.0
967,-2.0
968,-2.0
969,-3.0
970,-3.0
971,-3.0
972,-3.0
973,-3.0
974,-1.0
975,9.0
976,45.0
977,99.0
978,131.0
979,107.0
980,56.0
981,18.0
982,2.0
983,-3.0
984,-5.0
985,-6.0
986,-7.0
987,-8.0
988,-8.0
989,-7.0
990,-7.0
991,-6.0
992,-5.0
993,-5.0
994,-4.0
995,-4.0
996,-3.0
997,-3.0
998,-3.0
999,-1.0
1000,-1.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,1.0
1006,2.0
1007,3.0
1008,4.0
1009,6.0
1010,8.0
1011,10.0
1012,12.0
1013,15.0
1014,17.0
1015,18.0
1016,19.0
1017,19.0
1018,18.0
1019,16.0
1020,13.0
1021,9.0
1022,5.0
1023,2.0
1024,0.0
1025,-1.0
1026,-3.0
1027,-5.0
1028,-6.0
1029,-8.0
1030,-9.0
1031,-9.0
1032,-10.0
1033,-10.0
1034,-10.0
1035,-10.0
1036,-9.0
1037,-8.0
1038,-8.0
1039,-8.0
1040,-8.0
1041,-8.0
1042,-8.0
1043,-8.0
1044,-7.0
1045,-6.0
1046,-5.0
1047,-5.0
1048,-5.0
1049,-6.0
1050,-6.0
1051,-6.0
1052,-6.0
1053,-5.0
1054,-4.0
1055,-4.0
1056,-3.0
1057,-3.0
1058,-2.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-3.0
1063,-3.0
1064,-3.0
1065,-3.0
1066,-3.0
1067,-3.0
1068,-3.0
1069,-3.0
1070,-3.0
1071,-3.0
1072,-3.0
1073,2.0
1074,31.0
